model,worst_variant,category,n,false_negatives,fn_rate
mistral,V14,"1. threats, plans to harm and incitement",89,17,0.191
mistral,V14,2. derogation,454,61,0.1344
mistral,V14,3. animosity,333,79,0.2372
mistral,V14,4. prejudiced discussions,94,29,0.3085
phi3,V4,"1. threats, plans to harm and incitement",89,89,1.0
phi3,V4,2. derogation,454,438,0.9648
phi3,V4,3. animosity,333,322,0.967
phi3,V4,4. prejudiced discussions,94,92,0.9787
llama3.1,V8,"1. threats, plans to harm and incitement",89,80,0.8989
llama3.1,V8,2. derogation,454,351,0.7731
llama3.1,V8,3. animosity,333,247,0.7417
llama3.1,V8,4. prejudiced discussions,94,73,0.7766
qwen2.5,V14,"1. threats, plans to harm and incitement",89,28,0.3146
qwen2.5,V14,2. derogation,454,96,0.2115
qwen2.5,V14,3. animosity,333,131,0.3934
qwen2.5,V14,4. prejudiced discussions,94,52,0.5532
gemma2,V8,"1. threats, plans to harm and incitement",89,14,0.1573
gemma2,V8,2. derogation,454,27,0.0595
gemma2,V8,3. animosity,333,26,0.0781
gemma2,V8,4. prejudiced discussions,94,7,0.0745
qwen3,V6,"1. threats, plans to harm and incitement",89,19,0.2135
qwen3,V6,2. derogation,454,84,0.185
qwen3,V6,3. animosity,333,113,0.3393
qwen3,V6,4. prejudiced discussions,94,42,0.4468
