model,best_variant,sweep,param,f1,delta_f1_vs_baseline
mistral,V7,size,fewshot_n=1,0.5285,-0.039
mistral,V7,size,fewshot_n=3,0.5914,0.024
mistral,V7,size,fewshot_n=4,0.5959,0.0285
phi3,V9,order,order_0,0.5655,0.0
phi3,V9,order,order_1,0.5335,-0.032
phi3,V9,size,fewshot_n=1,0.5891,0.0236
phi3,V9,size,fewshot_n=3,0.5469,-0.0186
phi3,V9,size,fewshot_n=4,0.4733,-0.0922
llama3.1,V6,size,fewshot_n=1,0.5728,0.0226
llama3.1,V6,size,fewshot_n=3,0.5464,-0.0037
llama3.1,V6,size,fewshot_n=4,0.5511,0.001
qwen2.5,V6,size,fewshot_n=1,0.5541,-0.031
qwen2.5,V6,size,fewshot_n=3,0.5806,-0.0045
qwen2.5,V6,size,fewshot_n=4,0.5827,-0.0024
gemma2,V7,size,fewshot_n=1,0.5128,-0.0176
gemma2,V7,size,fewshot_n=3,0.5199,-0.0106
gemma2,V7,size,fewshot_n=4,0.5415,0.011
qwen3,V8,order,order_0,0.6269,0.0
qwen3,V8,order,order_1,0.6306,0.0037
qwen3,V8,size,fewshot_n=1,0.6223,-0.0045
qwen3,V8,size,fewshot_n=3,0.6186,-0.0083
qwen3,V8,size,fewshot_n=4,0.6444,0.0176
